职位,公司名称,地址,经度,纬度,网址
叉车工,天津创铭铝制品有限公司,天津北辰区陆路港物流装备园五纬路2号,117.3242313,39.25503785,https://jobs.51job.com/tianjin/93215535.html?s=01&t=0
仓管员-8815,百世物流科技（中国）有限公司,天津市北辰区辰远路双环村鹏安工业园百世快递,117.137262,39.21755861,https://jobs.51job.com/tianjin/93274046.html?s=01&t=0
仓库管理员（福利好，发展空间大）,广东品胜电子股份有限公司,天津,117.2108131,39.1439299,https://jobs.51job.com/tianjin/94071826.html?s=01&t=0
仓库管理员,天津广播电视报读者生活馆,天津市,117.2108131,39.1439299,https://jobs.51job.com/tianjin/94183124.html?s=01&t=0
库管(000504)(职位编号：demax000504),天津塞科凯尔科技有限公司,武清,117.0345779,39.45704258,https://jobs.51job.com/tianjin/94586945.html?s=01&t=0
仓库管理员,天津唐朝食品工业有限公司,华苑产业园区（环外）海泰发展二路5号,117.1028646,39.08270089,https://jobs.51job.com/tianjin/94877953.html?s=01&t=0
日企仓库担当(编号93494) 日语必须,上海艾杰飞人力资源有限公司,天津,117.2108131,39.1439299,https://jobs.51job.com/tianjin/95238661.html?s=01&t=0
物流仓储管理 海外雇主直招 可移民非外派,沈阳华才网络咨询有限公司,，新加坡，澳大利亚，丹麦,117.2108131,39.1439299,https://jobs.51job.com/tianjin/95395685.html?s=01&t=0
养护员,天津生物制品有限公司,天津市西青区慧谷工业园,117.1262013,39.03506461,https://jobs.51job.com/tianjin/95635753.html?s=01&t=0
陆运部驻场协调员,全球国际货运代理（中国）有限公司天津分公司,天津市 市区,117.2108131,39.1439299,https://jobs.51job.com/tianjin/95924146.html?s=01&t=0
仓管+社保齐全,立昇净水集团,天津和平区多伦道新文化花园新典居3-1-102,117.191652,39.13203776,https://jobs.51job.com/tianjin/96165587.html?s=01&t=0
仓管员,深圳中天精装股份有限公司,东丽区张贵庄街道天津融创城项目,117.3216486,39.09672163,https://jobs.51job.com/tianjin/97111759.html?s=01&t=0
库房管理文员/轻松4K+接受实习,武汉建中伟业科技有限公司,天津津南区,117.39291,38.96979053,https://jobs.51job.com/tianjin/97181214.html?s=01&t=0
仓库质管员（天津1）,无锡市中卡物流有限公司,天津市武清区京滨工业园京滨大道88号阿里巴巴物流中心,116.8170347,39.55754245,https://jobs.51job.com/tianjin/97455180.html?s=01&t=0
仓库质管员（天津2）,无锡市中卡物流有限公司,天津市宁河现代产业园区安捷西路2号安博天津宁河物流中心,117.441857,39.25754713,https://jobs.51job.com/tianjin/97455278.html?s=01&t=0
库管,天津市骏发汽车维修服务有限公司,天津市河东区一号桥耐火路11号,117.2882986,39.10830509,https://jobs.51job.com/tianjin/97459339.html?s=01&t=0
