j,i,lat,long,counts,address,township,towncode
6,27,39.68452304744838,116.44009102119651,2.0,北京市大兴区魏善庄镇查家马坊村,魏善庄镇,110115110000
6,28,39.68452304744838,116.4560862092763,7.0,北京市大兴区魏善庄镇G3京台高速,魏善庄镇,110115110000
6,29,39.68452304744838,116.4720813973561,31.0,北京市大兴区青云店镇高庄村,青云店镇,110115103000
6,30,39.68452304744838,116.48807658543589,72.0,北京市大兴区青云店镇107乡道,青云店镇,110115103000
6,31,39.68452304744838,116.5040717735157,17.0,北京市大兴区青云店镇青云里小区,青云店镇,110115103000
6,32,39.68452304744838,116.52006696159549,113.0,北京市大兴区青云店镇大回城街,青云店镇,110115103000
6,33,39.68452304744838,116.5360621496753,144.0,北京市大兴区青云店镇青采路,青云店镇,110115103000
6,34,39.68452304744838,116.55205733775509,13.0,北京市大兴区青云店镇青采路98号,青云店镇,110115103000
6,35,39.68452304744838,116.5680525258349,1.0,北京市大兴区长子营镇沁水路,长子营镇,110115111000
6,36,39.68452304744838,116.58404771391469,2.0,北京市大兴区长子营镇青采路,长子营镇,110115111000
6,37,39.68452304744838,116.6000429019945,39.0,北京市大兴区长子营镇长子营镇中心卫生院(装修中),长子营镇,110115111000
6,38,39.68452304744838,116.61603809007428,7.0,北京市大兴区长子营镇西泗路,长子营镇,110115111000
6,39,39.68452304744838,116.6320332781541,3.0,北京市大兴区长子营镇安孙路,长子营镇,110115111000
6,40,39.68452304744838,116.64802846623388,1.0,北京市大兴区长子营镇安孙路,长子营镇,110115111000
6,41,39.68452304744838,116.6640236543137,3.0,北京市大兴区采育镇星月湖农业休闲观光园,采育镇,110115104000
6,42,39.68452304744838,116.68001884239351,4.0,北京市通州区于家务回族乡聚富园一路,于家务回族乡,110112209000
