始发站,终点站,货物,日期,网址
北京,湖北武汉,None,2018-10-12,http://www.56135.com/huoyuan/I9451750.html
北京,上海,None,2018-10-12,http://www.56135.com/huoyuan/I9451749.html
北京,河南郑州,快递,2018-10-12,http://www.56135.com/huoyuan/I9452023.html
北京,浙江杭州,None,2018-10-12,http://www.56135.com/huoyuan/I9451660.html
北京,广西南宁,None,2018-10-12,http://www.56135.com/huoyuan/I9451659.html
北京,广东广州,None,2018-10-12,http://www.56135.com/huoyuan/I9451658.html
北京,湖北武汉,None,2018-10-12,http://www.56135.com/huoyuan/I9451657.html
北京,上海,None,2018-10-12,http://www.56135.com/huoyuan/I9451656.html
北京,重庆,None,2018-10-12,http://www.56135.com/huoyuan/I9451655.html
北京,四川成都,None,2018-10-12,http://www.56135.com/huoyuan/I9451654.html
北京,辽宁大连,None,2018-10-12,http://www.56135.com/huoyuan/I9451653.html
北京,浙江杭州萧山,None,2018-10-12,http://www.56135.com/huoyuan/I9451646.html
北京,山东济南,None,2018-10-12,http://www.56135.com/huoyuan/I9451645.html
北京,山西太原,None,2018-10-12,http://www.56135.com/huoyuan/I9451644.html
北京,广东广州,普货,2018-10-12,http://www.56135.com/huoyuan/I9450960.html
北京房山,河北唐山古冶,煤,2018-10-12,http://www.56135.com/huoyuan/I9450671.html
北京,江西南昌,普货,2018-10-12,http://www.56135.com/huoyuan/I9450522.html
北京,河南郑州,普货,2018-10-12,http://www.56135.com/huoyuan/I9450521.html
北京,四川成都,普货,2018-10-12,http://www.56135.com/huoyuan/I9450520.html
北京通州,湖北十堰茅箭,设备,2018-10-13,http://www.56135.com/huoyuan/I9451155.html
北京,广西南宁,快递,2018-10-12,http://www.56135.com/huoyuan/I9450224.html
北京,广东广州,快递,2018-10-12,http://www.56135.com/huoyuan/I9450223.html
北京,海南三亚,普货,2018-10-12,http://www.56135.com/huoyuan/I9450137.html
北京,海南海口,普货,2018-10-12,http://www.56135.com/huoyuan/I9450136.html
北京,广东东莞,普货,2018-10-12,http://www.56135.com/huoyuan/I9450135.html
北京,广东深圳,普货,2018-10-12,http://www.56135.com/huoyuan/I9450134.html
北京,广东广州,普货,2018-10-12,http://www.56135.com/huoyuan/I9450133.html
北京房山,青海西宁,重货,2018-10-12,http://www.56135.com/huoyuan/I9450118.html
北京通州,山东滨州惠民,普货,2018-10-12,http://www.56135.com/huoyuan/I9450058.html
北京房山,河北唐山滦县,剪切料,2018-10-12,http://www.56135.com/huoyuan/I9450050.html
北京房山,河北唐山丰润,剪切料,2018-10-12,http://www.56135.com/huoyuan/I9450049.html
北京,湖北鄂州,普货,2018-10-12,http://www.56135.com/huoyuan/I9450044.html
北京密云,河北唐山玉田,剪切料,2018-10-12,http://www.56135.com/huoyuan/I9450041.html
北京,河南郑州,None,2018-10-12,http://www.56135.com/huoyuan/I9449814.html
北京,河南郑州,None,2018-10-12,http://www.56135.com/huoyuan/I9449812.html
北京房山,山西临汾,普货,2018-10-12,http://www.56135.com/huoyuan/I9449728.html
北京平谷,浙江,建材,2018-10-12,http://www.56135.com/huoyuan/I9449626.html
北京大兴,西藏拉萨,None,2018-10-12,http://www.56135.com/huoyuan/I9449625.html
北京昌平,天津静海,普货,2018-10-12,http://www.56135.com/huoyuan/I9449571.html
北京,广东广州,普货,2018-10-12,http://www.56135.com/huoyuan/I9449565.html
