始发地,目的地,货物类型,日期,网址
广东东莞,北京,普货,2018/3/23,http://www.56135.com/huoyuan/I6313356.html
广东深圳,北京,普货,2018/3/23,http://www.56135.com/huoyuan/I6313354.html
浙江宁波,北京,快递,2018/3/23,http://www.56135.com/huoyuan/I6312708.html
广东湛江徐闻,北京,玉米,2018/3/23,http://www.56135.com/huoyuan/I6312691.html
山东济南,北京,易拉罐,2018/3/23,http://www.56135.com/huoyuan/I6312376.html
辽宁阜新,北京,冻品,2018/3/23,http://www.56135.com/huoyuan/I6312373.html
福建南平建瓯,北京,绿通,2018/3/23,http://www.56135.com/huoyuan/I6312361.html
福建福州,北京,绿通,2018/3/23,http://www.56135.com/huoyuan/I6312356.html
福建南平光泽,北京,冻品,2018/3/23,http://www.56135.com/huoyuan/I6312353.html
福建厦门,北京,水果,2018/3/23,http://www.56135.com/huoyuan/I6312186.html
黑龙江大庆,北京,化工,2018/3/23,http://www.56135.com/huoyuan/I6312149.html
广东湛江,北京,虾仁,2018/3/23,http://www.56135.com/huoyuan/I6312141.html
广西崇左凭祥,北京,榴莲,2018/3/23,http://www.56135.com/huoyuan/I6312136.html
山东东营垦利,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6312094.html
四川成都,北京,菜,2018/3/22,http://www.56135.com/huoyuan/I6312046.html
山东济南章丘,北京海淀,易拉罐,2018/3/23,http://www.56135.com/huoyuan/I6311915.html
四川遂宁大英,北京,货,2018/3/22,http://www.56135.com/huoyuan/I6311880.html
天津武清,北京海淀,塑料,2018/3/22,http://www.56135.com/huoyuan/I6311682.html
宁夏银川,北京,冻品,2018/3/22,http://www.56135.com/huoyuan/I6311623.html
广东东莞,北京,普货,2018/3/22,http://www.56135.com/huoyuan/I6311611.html
辽宁盘锦,北京,化工,2018/3/22,http://www.56135.com/huoyuan/I6311600.html
辽宁盘锦,北京,干净货,2018/3/22,http://www.56135.com/huoyuan/I6311565.html
辽宁盘锦,北京,烷基化,2018/3/22,http://www.56135.com/huoyuan/I6311520.html
新疆塔城乌苏,北京密云,棉壳,2018/3/22,http://www.56135.com/huoyuan/I6311131.html
新疆塔城乌苏,北京通州,棉壳,2018/3/22,http://www.56135.com/huoyuan/I6311129.html
贵州黔东南岑巩,北京平谷,砖,2018/3/22,http://www.56135.com/huoyuan/I6310942.html
海南文昌锦山,北京顺义,砖,2018/3/22,http://www.56135.com/huoyuan/I6310940.html
内蒙古赤峰元宝山,北京密云,砖,2018/3/22,http://www.56135.com/huoyuan/I6310939.html
内蒙古赤峰,北京顺义,打包砖,2018/3/22,http://www.56135.com/huoyuan/I6310937.html
福建厦门,北京通州,石材,2018/3/22,http://www.56135.com/huoyuan/I6310922.html
河南开封,北京,None,2018/3/22,http://www.56135.com/huoyuan/I6310898.html
吉林,北京,M,2018/3/22,http://www.56135.com/huoyuan/I6310882.html
广东深圳,北京,快递,2018/3/21,http://www.56135.com/huoyuan/I6310869.html
新疆石河子,北京延庆,普货,2018/3/22,http://www.56135.com/huoyuan/I6310821.html
