,公司,岗位,薪资,地址,经度,纬度,URL,low,hight,mean,区域
1295,上海鑫屋网络科技有限公司,分拣工,4.5-6.5千/月,京东物流,116.556249,39.815938,https://jobs.51job.com/beijing-dxq/106225701.html?s=01&t=0,4.5,6.5,5.5,大兴区
1298,北京Dole食品有限公司,仓储助理,5-6千/月,北京亦庄经济技术开发区同济南路１６号,116.54531,39.78238,https://jobs.51job.com/beijing-dxq/79384950.html?s=01&t=0,5.0,6.0,5.5,大兴区
1299,北京高威科电气技术股份有限公司,仓库主管,4-8千/月,北京市亦庄经济开发区经海三路138号东楼三楼,116.56626,39.783521,https://jobs.51job.com/beijing-dxq/59755014.html?s=01&t=0,4.0,8.0,6.0,大兴区
1300,普崴存储信息技术（上海）有限公司,物流专员,3-4.5千/月,东四环中路远洋国际中心C座1804,116.497965,39.919626,https://jobs.51job.com/beijing-cyq/105015727.html?s=01&t=0,3.0,4.5,3.75,朝阳区
1301,普崴存储信息技术（上海）有限公司,仓库主管,3-4.5千/月,东四环中路远洋国际中心C座1804,116.497965,39.919626,https://jobs.51job.com/beijing-cyq/105015581.html?s=01&t=0,3.0,4.5,3.75,朝阳区
1302,伊藤忠物流（中国）有限公司,跟车员,3.8-4.5千/月,北京市朝阳区大鲁店中铁物流院内,116.408886,39.863811,https://jobs.51job.com/beijing-cyq/104740074.html?s=01&t=0,3.8,4.5,4.15,朝阳区
1308,上海兔小二科技有限公司,仓库主管,5-6千/月,王佐镇林家坟,116.130409,39.794308,https://jobs.51job.com/beijing-ftq/104537483.html?s=01&t=0,5.0,6.0,5.5,丰台区
1309,上海蒸皓电子科技有限公司,仓库主管,4.5-6千/月,北京-朝阳区,116.44974,39.926391,https://jobs.51job.com/beijing-cyq/107689358.html?s=01&t=0,4.5,6.0,5.25,朝阳区
1310,上海蒸皓电子科技有限公司,仓库主管,4.5-6千/月,北京-西城区,116.372226,39.918149,https://jobs.51job.com/beijing-xcq/108841837.html?s=01&t=0,4.5,6.0,5.25,西城区
1311,上海蒸皓电子科技有限公司,仓库主管,4.5-6千/月,北京-朝阳区,116.44974,39.926391,https://jobs.51job.com/beijing-cyq/108690397.html?s=01&t=0,4.5,6.0,5.25,朝阳区
1312,上海蒸皓电子科技有限公司,仓库主管,4.5-6千/月,北京大兴区,116.34814,39.732549,https://jobs.51job.com/beijing-dxq/108472422.html?s=01&t=0,4.5,6.0,5.25,大兴区
1313,上海蒸皓电子科技有限公司,仓库主管,4.5-6千/月,北京-西城区,116.372226,39.918149,https://jobs.51job.com/beijing-xcq/108309253.html?s=01&t=0,4.5,6.0,5.25,西城区
